sub_id,ses_id
sub-A00054578,ses-TRT
sub-A00054581,ses-BAS1
sub-A00054581,ses-FLU1
sub-A00054581,ses-FLU2
sub-A00054581,ses-TRT
sub-A00054621,ses-BAS1
sub-A00054857,ses-BAS1
sub-A00054857,ses-BAS2
sub-A00054895,ses-BAS1
sub-A00054895,ses-BAS2
sub-A00054895,ses-FLU1
sub-A00054897,ses-BAS1
sub-A00054913,ses-BAS1
sub-A00054914,ses-BAS1
sub-A00054929,ses-BAS1
sub-A00055061,ses-BAS1
sub-A00055076,ses-BAS1
sub-A00055076,ses-FLU1
sub-A00055076,ses-TRT
sub-A00055116,ses-BAS1
sub-A00055121,ses-BAS1
sub-A00055122,ses-BAS1
sub-A00055122,ses-FLU1
sub-A00055122,ses-FLU2
sub-A00055122,ses-TRT
sub-A00055215,ses-BAS1
sub-A00055262,ses-BAS1
sub-A00055262,ses-FLU1
sub-A00055262,ses-FLU2
sub-A00055262,ses-TRT
sub-A00055267,ses-FLU2
sub-A00055267,ses-TRT
sub-A00055332,ses-BAS1
sub-A00055352,ses-BAS1
sub-A00055353,ses-BAS1
sub-A00055373,ses-BAS1
sub-A00055446,ses-BAS1
sub-A00055447,ses-BAS1
sub-A00055462,ses-BAS1
sub-A00055462,ses-FLU1
sub-A00055462,ses-FLU2
sub-A00055462,ses-TRT
sub-A00055541,ses-BAS1
sub-A00055542,ses-BAS1
sub-A00055612,ses-BAS1
sub-A00055612,ses-FLU1
sub-A00055612,ses-FLU2
sub-A00055612,ses-TRT
sub-A00055624,ses-BAS1
sub-A00055624,ses-FLU1
sub-A00055692,ses-BAS1
sub-A00055693,ses-BAS1
sub-A00055693,ses-FLU1
sub-A00055693,ses-FLU2
sub-A00055693,ses-TRT
sub-A00055727,ses-BAS1
sub-A00055727,ses-FLU2
sub-A00055727,ses-TRT
sub-A00055728,ses-BAS1
sub-A00055728,ses-FLU2
sub-A00055728,ses-TRT
sub-A00055738,ses-BAS1
sub-A00055763,ses-BAS1
sub-A00055763,ses-BAS2
sub-A00055763,ses-FLU1
sub-A00055765,ses-BAS1
sub-A00055806,ses-BAS1
sub-A00055832,ses-BAS1
sub-A00055832,ses-FLU1
sub-A00055866,ses-BAS1
sub-A00055866,ses-TRT
sub-A00055867,ses-BAS1
sub-A00055867,ses-TRT
sub-A00055903,ses-BAS1
sub-A00055903,ses-TRT
sub-A00055906,ses-BAS1
sub-A00055907,ses-BAS1
sub-A00055907,ses-FLU2
sub-A00055907,ses-TRT
sub-A00055908,ses-BAS1
sub-A00055908,ses-FLU1
sub-A00055908,ses-TRT
sub-A00055920,ses-BAS1
sub-A00055920,ses-FLU1
sub-A00055920,ses-FLU2
sub-A00055920,ses-TRT
sub-A00055921,ses-FLU1
sub-A00055921,ses-FLU2
sub-A00055921,ses-TRT
sub-A00055946,ses-BAS1
sub-A00055946,ses-FLU1
sub-A00055946,ses-FLU2
sub-A00055946,ses-TRT
sub-A00055962,ses-BAS1
sub-A00055991,ses-BAS1
sub-A00055991,ses-TRT
sub-A00056020,ses-BAS1
sub-A00056020,ses-FLU1
sub-A00056020,ses-FLU2
sub-A00056020,ses-TRT
sub-A00056022,ses-BAS1
sub-A00056022,ses-FLU1
